id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	target_organism	unit	administered_dose_range	significant_dose_range	time_to_death_of_target_organism_in_minutes	anthelminthic_efficacy_in_percent	therapeutic_action
RID10060			Caesalpinia sappan wood extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	125.0	125.0	-	100.0	Antiparasitic
RID00042	CID:135449328	CAS:58306-30-2	Febantel	Compound	39492189	In vivo		Carassius auratus		Water treatment	Gyrodactylus kobayashii	mg/mL	0.08-2.0	0.08-2.0	-	100.0	Antiparasitic
RID10011		CAS:8015-96-1	Cassia oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	14.0	14.0	-	94.57	Antiparasitic
RID10088			Citrus limon essential oil	Mixture	37745226	In vivo		Cyprinus carpio		Bath	Dactylogyrus sp.	µL/mL	0.73	0.73	-	30.95	Anthelmintic
RID10088			Citrus limon essential oil	Mixture	37745226	In vitro	Parasites were collected from the gills of heavily infected carp				Dactylogyrus sp.	µL/mL	1.0-10.0	1.0-10.0	2.0-10.0	100.0	Anthelmintic
RID10123			Eupatorium fortunei leaf extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	500.0	500.0	-	100.0	Antiparasitic
RID10120			Eucommia ulmoides root extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	450.0	450.0	-	90.0	Antiparasitic
RID10093			Clematis chinensis root extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	225.0	225.0	-	100.0	Antiparasitic
RID10103			Cuscuta chinensis seed extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	300.0	300.0	-	53.0	Antiparasitic
RID10110			Cynatratoside-X	Mixture	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	62.5-1000.0	62.5-1000.0	-	60.0-100.0	Antiparasitic
RID10114			Dianthus superbus leaf extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	800.0	800.0	-	50.0	Antiparasitic
RID10115			Dryopteris setosa extract	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	125.0-1000.0	125.0-1000.0	-	53.3-100.0	Antiparasitic
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vivo		Micropterus salmoides		Diet	Aeromonas hydrophila	%	0.1-0.6	0.1-0.6	-	-	Antibacterial
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	BYK19134				Aeromonas hydrophila	mg/mL	0.045	0.045	-	-	Antibacterial
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	CCTCC M2018843				Streptococcus dysgalactiae	mg/mL	0.09	0.09	-	-	Antibacterial
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	CDQ-1				Aeromonas punctata f. intestinalis	mg/mL	0.09	0.09	-	-	Antibacterial
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	GIM1.551				Aeromonas hydrophila	mg/mL	0.36	0.36	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Enterococcus faecium	µL/mL	3.12	3.12	-	-	Antibacterial
RID10139			Ginkgo biloba leaf extract	Mixture	36572268	In vivo		Penaeus vannamei		Diet		g/kg	1.0-4.0	1.0-4.0	-	-	Growth promoter
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vivo		Micropterus salmoides		Diet		%	0.1-0.6	0.1-0.6	-	-	Immunostimulant
RID10139			Ginkgo biloba leaf extract	Mixture	36572268	In vivo		Penaeus vannamei		Diet		g/kg	1.0-4.0	1.0-4.0	-	-	Digestive stimulant
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	HNLFYL4				Streptococcus agalactiae	mg/mL	0.045	0.045	-	-	Antibacterial
RID10139			Ginkgo biloba leaf extract	Mixture	36572268	In vivo		Penaeus vannamei		Diet		g/kg	1.0-4.0	1.0-4.0	-	-	Antioxidant
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	Hsy0531-K				Vibrio mimicus	mg/mL	0.045	0.045	-	-	Antibacterial
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	TH0426				Aeromonas veronii	mg/mL	0.18	0.18	-	-	Antibacterial
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	TPS-30				Aeromonas hydrophila	mg/mL	0.18	0.18	-	-	Antibacterial
RID10139			Ginkgo biloba leaf extract	Mixture	36572268	In vivo		Penaeus vannamei		Diet		g/kg	1.0-4.0	1.0-4.0	-	-	Immunostimulant
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	BYK19103				Aeromonas hydrophila	mg/mL	0.09	0.09	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas gessardii	µL/mL	25.0	25.0	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Enterococcus moravensis	µL/mL	3.12	3.12	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas lundensis	µL/mL	25.0	25.0	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas proteolitica	µL/mL	6.25	6.25	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Shewanella baltica	µL/mL	6.25	6.25	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas frederiksbergensis	µL/mL	25.0	25.0	-	-	Antibacterial
RID10141			Glycyrrhiza uralensis extract	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	31.3-400.2	400.2	-	-	Antiparasitic
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Pseudomonas fluorescens	µL/mL	25.0	25.0	-	-	Antibacterial
