id	pubchemid	casrn	predicted_melting_point	experimental_melting_point	predicted_water_solubility_wskow	experimental_water_solubility	qsar_class	organism	duration	endpoint	concentration
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Neutral Organics	Daphnid	48-hr	LC50	1058.7081298828125
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Neutral Organics	Green Algae	96-hr	EC50	516.2240600585938
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Neutral Organics	Fish (SW)	96-hr	LC50	2583.45703125
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Neutral Organics	Mysid	96-hr	LC50	4072.520263671875
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Amides 	Fish	96-hr	LC50	519.9244384765625
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Amides 	Daphnid	48-hr	LC50	598.2286987304688
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Amides 	Green Algae	96-hr	EC50	42.11301040649414
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Amides 	Fish (SW)	96-hr	LC50	411.02984619140625
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Amides 	Mysid (SW)	96-hr	LC50	18.314842224121094
RID00329	CID:91466	CAS:519-02-8	138.3792724609375		831.5438232421875		Aliphatic Amines	Fish	96-hr	LC50	73.6255874633789
RID00329	CID:91466	CAS:519-02-8	138.3792724609375		831.5438232421875		Aliphatic Amines	Daphnid	48-hr	LC50	8.48878002166748
RID00329	CID:91466	CAS:519-02-8	138.3792724609375		831.5438232421875		Aliphatic Amines	Green Algae	96-hr	EC50	7.4816389083862305
RID00329	CID:91466	CAS:519-02-8	138.3792724609375		831.5438232421875		Neutral Organics	Fish	96-hr	LC50	369.2122802734375
RID00329	CID:91466	CAS:519-02-8	138.3792724609375		831.5438232421875		Neutral Organics	Daphnid	48-hr	LC50	204.1622314453125
