id	pubchemid	casrn	geneforms	geneid	genesymbol	interactionactions	organismid	organism	pubmedids
RID00104	CID:2726	CAS:50-53-3	mRNA	63894	VIPAS39	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	64779	MTHFSD	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	64812	SOX19B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	64927	TTC23	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	65233	SIX4A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	653583	PHLDB3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	654790	PCP4L1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	6559	SLC12A3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	64789	EXO5	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	6582	SLC22A2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	63874	ABHD4	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	619268	SAGB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	57720	GPR107	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	57724	EPG5	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	57761	TRIB3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	58027	SPON1A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	58108	FTH1A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	58122	MCL1A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	6241	RRM2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5867	RAB4A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5949	RBP3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	6010	RHO	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	60493	FASTKD5	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	60526	LDAH	Affects expression	7955	Danio rerio	25064622
