"Unit"	"Converted value equivalent in PPM"	"Comment"	"Conversion to ppm"	"Covered in old units"
"ng/ml"	"0.001"		"yes"	"Yes"
"mg/kg bdwt/d"	"1"	"bdwt - body weight, d – day is not relevant here"	"yes"	"Yes"
"mol/L"	"1000MW"		"yes"	"Yes"
"mmol/kg bdwt"	"1MW"		"yes"	"Yes"
"AI mg/kg dry soil"	"1"		"yes"	"Yes"
"umol/g dry wt"	"1MW"	"MW -molecular weight"	"yes"	"Yes"
"mg/g dry wt"	"1000"		"yes"	"Yes"
"ug/g eu"	"1"		"yes"	"Yes"
"g/kg diet"	"1000"		"yes"	"Yes"
"ug/ul"	"1000"		"yes"	"Yes"
"ug/ml H2O"	"1"		"yes"	"Yes"
"ug/0.1 ml/d/org"	"10"		"yes"	"Yes"
"ug/cm3"	"1"		"yes"	"Yes"
"lbs/200 gal"	"599.13214"	"1lbs=0.4535924 kg and 1gal=3.785412L"	"yes"	"Yes"
"g/1.8 kg soil"	"555.55556"		"yes"	"Yes"
